1,Matt Baguinon, Sa mga nagsasabi na dapat hindi dinadawit ang pangalan ng UPLB sa mga balitang krimen sa Los Ba�os, eto ang tanong para sa inyo.Sa karamihan na nangyaring mga krimen kamakailan lang, masasabi ba talagang walang koneksyon ang UPLB dito maliban sa proksimidad?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,Faye Barbasa, [Hi, share ko lang from my pamangkin's wall...ingat kayo lagi, mga isko at iska.]Guys, please be careful.Kanina, yung blockmate ko, nasa SC tapos naaksidente siya sa isang Katip na Jeep. If I'm not mistaken, nakahawak siya sa pintuan sa harap ng jeep tapos umandar lang yung jeep so nahulog siya sa kalsada at tumama yung ulo niya sa side walk. Tapos yung driver, diretso lang. Di man lang tumulong. Tapos pumunta yung friend ko sa CFA maski ganun kalagayan niya. (badass. Lupet) tapos kinausap niya yung isa ko pang blockmate tapos naconcern kami so dinala namin siya sa ER ng infirmary. Maraming bukol pala tapos minor scratches daw. Ayun, pinablotter namin. Tumulong kami sa Pulis sa UPD. Lecheng jeep driver yun.Bottom line, magingat kayo palagi..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,Far Pontejos, UPD," FS 2010-2011. Exam sa isang Engg class(NV)""""Class", ok lang sakin open notes, open books, open laptops, wag lang kayong magtatanungan. Bakit? Kasi kung hindi kayo nag-aral, 'di kayo matutulungan ng notes nyo, at kung nag-aral kayo," di nyo yun kelangan."""" Sabay smile.Good luck sa mga may finals pa! :)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,Nitt Nitt, Tanong ko lang po, Paano ko po malalaman kung ano subjects ang offered ngayong summer sa UPLB? Thanks :),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,Sally B. Gutierez, Random thoughts ng dalawang UP grad students:sa jeep:GS A: buti nlang sa UP tau ng-undergrad ano?GS B: bakit nman?GS A: kasi may kakilala ako, graduate sa (insert name of school here) nung undergrad. Then ngtuturo ngayon sa school na yun. Diba pag graduation sa college, pinapasuot ang damit na suot mo nung undergrad ka? pero sya, ayaw nya suotin ang damit nya nung undergrad sya. suot suot nya ang UP graduation costume.GS B: Ah talaga? di nya nga kayang ipagmalaki ang school nya.GS A: O diba?GS B: Buti na nga lang sa UP tayo nag-undergrad. atleast anytime, maipagmamalaki natin ang UP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,Dennis Gonzaga, March 2002, nasa Pinas ako noon para tapusin ang clinical years ko sa Medicine, off ako nun kaya umuwi ako sa bayan namin, dating gawi, tumambay kami sa tindahan ng tiyahin ko kasama ang 2 kapatid ko at ang 2 pinsan. Medyo tahimik dahil mahal na araw, gumabi bigla na lang nakarining kami ng napakalakas na palahaw na parang bakang kinakatay," inutusan ko ang isang kapatid ko na tignan kung anu yun. Ako:"""" Neng Tingnan mo nga kung ano yun?.""""", lumabas siya at pagbalik," """"kuya yung bakla sa kapit bahay pinagkakaguluhan ng mga tao at halos lumupasay na sa lupa dahil sa kangangaw ngaw"""""," Ako: """"Bakit daw?"""""," Neng: """"Kasi namatay daw ang asawa niya"""""," Ako: """"E sino daw ang asawa?"""""," Neng: """"si RICO YAN daw"""". :-) . Doon namin nalaman na namatay si Rico Yan. LOL.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,Felipe P. Jocano Jr., End of the semester. While wrapping up some matters in my office (Faculty Center), I can hear party music from the office next door. UP students aren't the only ones celebrating the end of the sem :-),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,Frances Abegail Quezon, totoo ba yung libre daw mag-swimming sa UP Diliman swimming pool area pag summer? hihi. umaasa. :>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,Andrews Empire, share ko lang ang 2 experience ko sa jeep (uplb).after ng klase namin sa eng10 sa may CEAT eh sumakay ako ng jeep. ayun as usual lumilipad ang utak ko pag nakasakay sa jeep. then ma pumara na mama sa tapat ng one silangan. out of the blue bigla din akong bumaba nang wala sa sarili. saktong pagbaba ko ng jeep biglang bumalik ang ulirat ko at narealize na sa demarces pa ako bababa. buti na lang nakatigil pa ung jeep. bigla akong akyat ulit at balik sa upuan.sabado naman na pahapon na ay sumakay ako ng jeep. papunta akong olivarez. then lumutang ulit ang utak ko at kung anu anu ang naisip nang magising ako nakita ko na nasa may health center na pala kami at papasok na ng bayan. bigla akong pumara kasi baka kung saan ako mapadpad. :),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,Christelle Faith Galleon, (Kinwento sakin ng kapatid ko, nahihiya kasi siya i-share dito sa Overheard.)Ang aga aga niya nagising kasi 7 am yung exam nila sa NatSci tapos may exam din sila sa Math. Eh 2 days na siyang di nakakatulog kasi sobrang busy, tinapos pa niya yung project niya sa Com. Nakarating siya sa UPM nang di niya namamalayan, tapos pumunta siya sa bilihan ng blue book.Kapatid ko: Ate para po, anim na blue book.Ate:  Ano po?Kapatid ko: Para po, anim na blue book.Ate: Ano po ulit?Kapatid ko: (Medyo naiinis na) Anim po na blue book! Tapos si Ate natatawa na, tapos narealize nung kapatid ko yung sinabi niya.Kapatid ko: Ate naman ehhh! Pabiliiii :((( Ate: (Tumatawa) Okay lang yan! Hell week ba? Good luck. Ingat! =))),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,Gelo Buligan, sa MRT jeep kanina..NVAko:(kapapasok pa lang)Driver: Dyan ka sa kaliwa! Mangaliwa ka lang! Mangaliwa ka lang ng mangaliwa! wag kang kakanan!Ako: O.O(huminto sa shed ang jeep)Driver: dalawa na lang! para sa mga lovers na lang!(May sumakay na dalawang lalaki)Driver: Kaliwa't kanan pa! Mamili na lang kayo ng babaeng gusto niyong makatabi! Kung ayaw kayo paupuin, suntukin,sipain at tadyakan niyo na lang!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,Brent Ian Luis, Indications of Hell Week in Elbi:Mutteringus walkamus - students reviewing notes out loud while walking, eyes fixed on a point in the horizon. Feet programmed to lead their dazed owner to exam destinations. These walkers seem to know how to navigate thru bollards, trees, and other walkers. Drivers drive carefully around them, and if one rides their jeep, stops had to be hollered out loud, lest all find themselves back at the Univ Gates.Props - those piles of papers that students carry around even to the toilet. These are referred to while in Mutteringus walkamus mode. Snatch these from its owner then all hell will break loose.Group study - yeah this is how we refer to these meetings but it is more like updating notes by photocopying (during our time) or USB swapping/blu-toothing/file transfers (trend). The newer trend is the creation of an e-group for the class, for safer file sharing without the need for physical meet-ups. During Hell Week, your inbox could be flooded with messages in real time. Boston Cafes (Grove and One Caldi) are full of deadline crammers, all outlets jammed with extension cords servicing 6 laptops each. Surprisingly, all Elbiccino varieties run out by 10pm, to be replenished again before midnight. Instead of monitoring for the time, one has to be aware what day it is.Conference Halls are packed with well-dressed students, waiting for their turn to present manuscripts. And because most wait for the exact last day of defense, the lights shine bright well into 12:01 midnight.Deadlines are sacred in Elbi, mountains are moved, dorm curfews are broken, friendships are put to the test, true characters are shown... just to keep the deadline. And when deadlines are met, only then can a student SLEEP to his/her hearts' content.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,Tegs Pazzi, Final exams sa isang major econ subject (which I forgot na kasi ancient na ako).Prof: Class, this exam is open notes, open books, open discussion. It is 8:00 in the morning. You have until 4 pm to submit your papers. Question: Outline the history of capitalism.Hell week ba kamo?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,Dennis Gonzaga, 1st year 2nd sem, New FOREHA Canteen, UPLB: Kumakain ako ng hapunan ko," """"Eye to Eye ni Ate Luds (R.I.P.)"""" ang palabas"," may portion dun na charity deeds ni Ate Luds ang theme at kadalasang ini-interview niya ng live ang mga lucky beneficiaries. Kadalasan ng intro niya na itanong sa mga beneficiary guests niya na """"Kilala mo ako kung sino ako?"""""," kadalasan ang sagot ay """"Opo kayo po si Inday Badiday."""". Minsan ang guest ay isang 4 na taong gulang na batang lalaki na natagpuan sa lansangan"," tinanong din ni Ate Luds ang bata """"Totoy kila mo ba kung sino ako?""""", sagot ng bata," """"Opo"," kayo yung halimaw!!!"""". :-). Nawala yung lungkot ko sa LB.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,Meg Forteza, UP Diliman students, deadline ng SET answering ngayon!! :O tapos nyo na ba sagutan?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,Dara Fabro, Kwentong sayang sparks :)UPLB kanina lan :))Isang challenge sa isang up student ang magpasa ng requirements lalo na kung isa kang crammer, kaya naman ultimo pagpunta at pag-akyat sa bundok ay susuungin para hindi ma-INC ang grade. Sa isang di inaasahang pagkakataon, hinamon kami ng aming prof na bumaba mula sa forestry in a not so mainstream way at ito ang pagbaba sa shortcut. Dahil atapang atao kami di kami umatras.Unfortunately lima kaming babae at 6pm na, isabay pa nag bilog na bilog na buwan. Nwawalan na kami ng pag-asa at ninais na lan namin na bumalik sa bahy ng prof namin at dumaan sa tamang daan. Buti na lan, may dalawang makisig na lalaki kaming nasulyapan at nagbigay pag-asa. Itago na lan natin sila sa pangalang kuya ﾓmacusi 99ﾔ at kuya ﾓwhite up shirtﾔ.Kagaya naming lima, first time din ni kuya white up shirt na bumaba sa shortcut habang si kuya macusi 99 ay masasabing beterano na. Sa loob ng dalawang minutong paglalakad madami kaming nalaman. Sila ay batch ﾒ08 at CE. Graduating na sila! At dahil dun. HAPPY GRADUATION!At alam naman natin na lahat ng bagay may katapusan at ang endpoint naming nila kuya ay ang pagpili ng daan papuntang vetmed o karilyon. Ang pinili namin ay ang karilyon sa di malamang dahilan at kamiﾒy nalulumbay sa choice namin. Kung nababasa nio man to kuya ﾓmacusi 99ﾔ at kuya ﾓwhite up shirtﾔ, gusto lan naming magpasalamat sa pag-guide samin sa pagbaba! Hulog kayo ng langit! Happy Graduation! Congrats!!!!Till we meet again :ﾔ>Czarina Moreno, Janela Rances Gonzaga ,Hazel Calibo ,Zelle Pasang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,Timothy Pacpaco, Sa isang convenience store malapit sa bahay namin.. (naka UP PE shirt ako, at first-time ko itong sinuot kasi nga first month pa lang ng pasukan nun(June 2012), (usually kasi nag-iinspect pa ang manong guard sa mga pumapasok na customer)bago ako pumasok:Manong Guard: (nakita yung shirt ko) taga UP ka?Me: Opo.Manong Guard: Sige pasok ka na. (with smile)at hindi na ako kinapkapan ni Manong Guard ever since bibili ako dun.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,Aldrin Baldemor, Math26 question: How fast will the water reach 8m within a 15m deep cylinder with a 6m radius considering the speed of the water at 7cu. m/s?Ako (di alam ang tunay na sagot): Please revise the question, because it is not given if the cylinder is covered or not, therefore we can't determine if the atmospheric pressure is the same inside and outside the cylinder, therefore also, the measurement of the point of insertion of water is not given. With such insufficiency of details, it can be concluded that the answer cannot be determined.hahaha makasagot lang.HAHAHA syempre di ko yan sinulat, sa creative mind ko lang, haha at baka may semplang semplang pa nga sa physics yan hahaha (disclaimer: pag mali physics concepts ko, aparisyon q lang tlga nagisip nian hahaha),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,Eliseo Rio Jr, What is the only question that ends with a period?................the question whether a girl is pregnant or not.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,Pj Ibasco, Sa MB canteen UPLB.Puno ng mga nag-aaral na estudyante yung mga lamesa dahil hell week na.Maya maya biglang may sumigaw ng pagalit.*non verbatim* Professor: Bakit ba kasi dito kayo nag-aaral? Wala tuloy maupuan yung mga kakain! May mga bakanteng classroom naman jan. Dun kayo! Di naman kayo kumakain e.(Although may sarili na syang table at sya lang yung kakain.)Napatingin ang mga estudyante pati mga staff ng canteen. Walang umimik. Nagpatuloy sa mga kanya kanyang ginagawa ang mga tao.Tumayo si professor at tiningnan ng masama ang magkakaibang grupo ng estudyante sa mga lamesa.P: Aba, walang umaalis. Di nyo ba ako kilala ha?!Tiningnan ng mga mas batang estudyante si prof. Nakashorts na pambahay, polo shirt na kupas at nakatsinelas lang siya. Di nila kilala si prof pero kaming mejo matanda na sa university ay nagtatawanan lang dahil kilala namin sya.P:  Sikat ako dito sa University! Unti-unting umalis yung mga estudyante hanggang sa natira grupo namin.P: Oh, pati kayo aalis din? Hahaha (devilish laugh),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,Robert Kyle Castro, UPD. Tumatambay at kumakain ako nun sa kiosk nang dumating ang isang grupo ng mga studyante. Student 1: ate(tindera), isa nga pong cheese burger. Take outTindera: I-pplastic pa po ba?*biglang singit ang kaibigan ni student 1Student 2: wag mo na i-take out dito ka nalang kumain," hintayin ka nalang namin.Student 1 : sige! (Sabi niya kay student 2)Tapos sabi ni student 1 sa tindera: """"ate", wag na po i-plastic, dito ko nalang kakainin. Sayang yung plastic," 'Save the GOVERNMENT' """"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,Brylle Latorre, UPM, CN, NSTP Culminating Activity," Non-verbatim""""........Keep that smiling heart", keep that giving heat," keep that caring heart and touch people's lives""""-Dean Balabagno", UPCN-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,Ricky Giganto," """"Manila"," Phillippines"""".bigla ko lang naalala", noong ang Form 5 ay hindi pa pini-print nang may personal info:may nagsusulat sa Form 5 nya sa box ng Country: PHILLIPINES. for how many years, yun ang lagi nyang sinusulat. napaisip na lang si Ate nang i-point out namin sa kanya ng orgmate namin na taga-ibang bansa pala sya. 2005 po ang student number nya. hehe(di ko na rin maalala kung Phillipines (?) nga ba yung country nya or Phillippines din gaya ng nasa BREAKING NEWS na 'to),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,Frente Sur Melliza," Overheard sa loob ng isang Ikot jeep:Pare #1: """"Bro"," if you had a hot cousin--""""Pare #2: """"YES! I would and I won't regret it after.""""Pare #1: """"Huh!? Tatanungin ko lang sana kung ipakilala mo sa akin..""""Hahahaha. Made my day.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,Moe Aguada Baculanta, hayan, since basag ang mga tao ngayon at basagan period dahil sa acads. status ko po ito kagabi habang nag-aaral(wala din ako napala, nagkarambol rambol din sa brain ko). dormer po kasi ako kaya hayan. let's all singSing to the Tune of PVZ finishing songSunflower!1,2, 3 (THESIS!!)There's a zombie in the dorm!There's a zombie in the dorm!There's a zombie in the dorm!We're all just zombies in the dormI know your type: Arial and double spacedYou want me to not go and sleep tight in my bedAnd then blacken the circlesalready around my eyesIt's just a cup of coffee but seeit power a whole horde of zombiesYou like to burn us outWe just want grades which are passingI used to play some sportsheadphones were on my headI had a make upped faceWe are the students!There's a zombie in the dorm!There's a zombie in the dorm!There's a zombie in the dorm!We're all just zombies in the dormMaybe it's time to S-evaluateI know you have a lot reds on our slatesBrains are quite rich in cholesterolwe'll be dead so it doesn't matter,Instead we'll use this caffeine powerTo fuel our engines each and every hourI have to write long papersThere's oil all over my faceI think I'm already brain deadWe are the students!There's a zombie in the dorm!There's a zombie in the dorm!There's a zombie in the dorm!We're all just zombies in the dorm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,Toons Villaroza Antolin," UPLB College of Human EcologySubject: HUMAN SEXUALITYProf. Ferrido -non verbatim-""""Class", I know you take your subjects seriously and you want to learn as much from this but please, NO LABORATORY EXERCISES OUTSIDE THE CLASS! I'm teaching you psychology," not multiplication!""""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,Jared Asuncion," Exam na sa major at inaarrange kami by class number. Tapos tinawag ako ni ma'am. """"Asuncion"""". Di ko naman kabisado classmates ko kasi parambol-rambol lang naman kami sa mga majors. Lahat nung ibang tinatawag niya", wala pa. Akala ko late lang silang lahat. Pagdating sa bandang 9th person na wala at ako pa lang ang napapaupo, nagets na ni ma'am maling class list pala 'yung binabasahan niya at may kasurname lang ako sa ibang klase.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,Joshua Felipe, Hi Good Evening!I'm not an UPCAT passer pero ita-try ko pong magpareconsider sa UPM bukas. 2.256 po yung UPG ko. May mga taga-UPM po ba dito na may kakilala na nareconsider. At rough estimation po ng chance ko. BA Development Studies po kukunin ko and may nabasa ko sa mga forum na Language at Reading scores daw po tinitignan? Thank you po!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,Haruna Kira, ano masasabe niyo dito?http://m.facebook.com/photo.php?fbid=503760572995191&id=415650598472856&set=a.415659061805343.83447.415650598472856&refid=28&_ft_=qid.5859611444534560667%3Amf_story_key.4064902097058109256alam ko sa upm yung shirt pero yung comment ng ibang tao..ano masasabe niyo?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,Lota A. Lleve, Kanina lang. Lunch. Mag-lolo yung katabi ng table ko. Biglang nagtanong yung apo...Apo: Ba't nabuntis si Lola?Lolo: (Ang laki ng smile ni Lolo) Kasi mahal ko siya. Apo: Mahal ko po yung classmate ko ngayon, eh di buntis na rin sya at ako ang ama. (Mas malaki ang smile ni Apo)--Kids these days ~ :)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,Patotsky Woods," Manong drayber's little son acting as a barker at the front seat:""""ITOT! ITOT! ITOT JIP!""""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,Roseanne Realubin, Kanina lang.-while going to class, nakasalubong si prof.Ako: Sir, may class?Prof: yes, you can get the questionnaires for the exam sa table ko.Ako: (deep in my mind) exam ngayon?????? o.0hahaha... cool lang. :D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,Ging Gumban, Thank You!When I received the notice that I passed the UPCAT some 30 years ago, I was kind of happy, kind of sad. I had a feeling I didn't have a chance, knowing the academic demands and my family's financial situation. I was decided to become a working student at another university thinking it was the only way. I couldn't be working and coping with UP at the same time.Then one day a HS (also my HS) classmate of my brother who has graduated earlier from UP came to visit me, just to tell me that he was so happy to see my name on the list of UPCAT passers. He was so disappointed when he learned that I wasn't planning to enrol in UP. He told me," """"How could you not give it a try", when others want it so bad? Now, go there, see your name on that list," just go there!""""The very next day I was standing in front of the bulletin board looking at my name. Wasn't I excited! But it was only for a moment. I didn't want to get excited for something I knew I didn't have a chance at. I was on my way out of the campus when I met a friend from high school. It was registration period and he was there to enroll for his third year in BS Bio. He was happy to see me but was aghast to learn I was not going to UP for college. He literally dragged me to OSPS to apply for a scholarship or a Grants-In-Aid (GIA)", that was how STFAP was called back then. I have one day to submit all the requirements. Whew! It was quite a list. My government-employee father took care of his end of the needed papers. A dear classmate helped me to get to see the barangay captain that night, who was just too happy to help me.You'll never know how a little encouragement," a little show of kindness and care could mean to a person. I'd like to say """"thank you"""" to Dr. Alfredo Yap", Dr. Patricio Palmes and Mrs. Loila Deloviar Bateslav. You made a difference in my life!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,Red Garcia Nuez, UPLB. 1st sem 2012-2013Fil21 class under ma'am Bucoy. :),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,Micah Defeo, UPLB. Kanina lang matapos naming maglunch ng roommate ko, lalabas sana kami ng Grove para magpaprint ng LRP niya. Sabi niya magwiwithdraw muna siya bago kami pumunta ng printing shop.Habang nasa jeep na at nakabayad na rin...Siya: Hala! Hindi pala ako makakapagwithdraw!Ako: Baket?Siya: Naiwan ko yung wallet ko! (with todo kalkal pa sa kanyang cute na bag)Ako: Ano? Baba na tayo. (Kahet ayoko dahil sobrang init at malayo-layong lakaran din ang mula AnSci hanggang Men's dorm)Pagkababa ng jeep...Siya: Hala! Andito pala yung wallet!Ako: Siyete!!!!Yung feeling na hindi ko man lang naramdaman na may kahit konting tama sa desisyon naming bumaba ng jeep. Yun pala false alarm lang ang lahat! xDWala tayong magagawa. Sabaw na talaga mga tao dahil sa #HELLWEEK. :D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,Andrei N. Dumaguet, Sa mga enrolled pa rin sa UP ngayon, mayroon pa rin ba yung Non-Major na status? Curiously lang ako malaman.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,Switcel Gie Garcia, ang buong pilipinas nag HOLY WEEK...ang unibersidad ng pilipinas naman nag HELL WEEK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,Carlo Santos, Hi UP Diliman members.Have you read the news? Ingat-ingat tayo lalo na sa mga nagboboard sa labas ng outskirts ng campus.http://www.mob.philstar.com/police-metro/2013/03/25/923669/qc-serial-killer-gumagala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,Kimber Ladd, Paymentwall is looking for Interns www.paymentwall.comIf you love surfing the net for news, new stuff, and information, then do it as a pro. Paymentwall is in search of Market Research Interns who have voracious appetite for information and learning. We have an internship program designed to provide you with good training and actual work experience. This position is ideal for college students who are looking to start a career in target market research, business development, and I.T. So, surf's up and ride the tech wave.We offer free food and transpo allowance.Skills/Requirements:-Must be in college and is currently required to do internship-Willing to work in a fun, fast-paced environment-Excellent analytical skills-Must be fluent in English-Tech-savvy and professional net surfer-Familiar with gaming and social sites, as well as different digital services and content offered onlineTo apply send your resume to jobs@paymentwall.com with the cover letter in the body of your email. On the subject line, write Market Research Interns - Manila,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,Dennis Gonzaga, Alala ko, sa St Luke's, doon ako ng med pero karamihan sa amin ay sa UP ng pre-med. Meron kaming kaklase na hindi sa UP ng pre-med. Minsan sinabi niya," """" yung katabing pamantasan ng St Luke's"," Iskul bukol"""". (???). No offense po pero isinishare ko lang po yung sinabi sa akin. :-)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,Christian Joshua Gomez Dio, UPLB. March 22, 2013Araw ng pagpapasa ng Library Research Paper namin sa ENG 2. 11:30 am.  Dahil binigyan kami ni Sir 1D ng palugit hanggang 4pm para ipasa yung paper together with the topic outline and list of original phrases, so umuwi muna ako sa dorm para gawin ung list of original sources.3:30 pm. Pinaprint ko yung paper ko and the other requirements. Nakasalubong ko sa SU ung classmate ko sa MATH 37. Sabi niya may take-home exercise kami due on 5:30 pm. So un ngarag na ngarag ako. Kailangan ko agad ipasa ung paper kay sir 1D then kukuha pa ako ng exer mula sa recit instructor ko sa math building. Then pumunta ako sa Coop to buy short  brown envelope, and this is how my conversation with the cashier goes on:Me: Magkano po yung short brown envelope?Cashier: 4 pesos.Me:(inabot yung bayad na 50 pesos)Cashier: Wala kang barya?Me: (nagtataka sapagkat nakabungad naman sa kanya ang bowl ng coins) Wala po     eh. Yan na lang po laman ng wallet ko.Cashier: Eh di kita masusuklian. (afterwards, she did not entertained me anymore and entertained the next customer.)YUNG TOTOO ATE?!! KAPAG WALANG BARYA, HINDI NA AGAD AKO PAGBIBILHAN?!! THE FACT NA NAKABUNGAD NA YUNG BOWL OF COINS SA HARAPAN KO, ANO AKO, BULAG??!!! Napakakapitalista mo naman kung mag-isip!!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,Laurence Robles, Dahil 1st time ko magpost, ihahalintulad ko ito sa una kong karanasan sa UP. Lahat tayo dito malamang ay may kanya-kanyang karanasan na pumukaw sa ating isipan sa pagpasok natin ng UP (kahit saang campus ka pa). :)Nung unang pasok ko sa UPLB, halo-halong takot, saya, pangamba ang naramdaman ko," tapos bigla akong may nabasa na gumising sa aking diwa...""""Live Tilapia"," IHAW na!""""Ayun. Namulat ako. XD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,Pj Tolentino," Nageexam ng onse (ES11) kanina sa UPD College of Eng'g. May isang studyanteng hindi nabigyan ng part 2 ng questionnaire. Lumapit siya sa proctor.""""Sir"," wala po akong problems""""""""Wala kang problems? Ikaw na walang problema!""""T___T sana ako rin walang problems",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,Sitti Shahani Laminero, UPV Miag-ao 4th yr 2nd sem, 30mins late ako sa 7am genetics class ko. Close yung back door ng room so instead na pumasok sa front door at mapahiya sa buong class," tumambay na lang ako sa """"mushroom"""" malapit sa CUB. Pagring ng bell", papasok na sana ako sa next class ko. Pero biglang kumati yung leeg ko at namamaga yung mukha. Yun pala nalaglagan ako ng higad sa likod! So ayun, buong araw ako sa infirmary!! Ang karma nga naman!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,Butch Tan," Last na ito. Kailangan ko lang kasi ilabas dahil baka pag na-Alzheimer ako wala nang lahat ang ito.""""The Cheaters""""Background: 2 zoo majors (itago natin sa pangalang """"Nonoy"""" at """"Rey"""") are reviewing for the Genetics finals. Take 2 na ako kasi bagsak last sem. Halos hindi ako pumasok dahil my stage play ang frat. Take 2 din si Rey kahit masipag mag-aral. Tuloy I agreed to a joint review and to coach him. Essentially ratios and proportions lang naman yung predictive aspect ng genetics di ba? (naks). Fast forward. Natapos ang finals at pumasa kaming pareho (but not before Rey practically grabbed my bluebook and copied my answers word for word). Pinost yung mga pumasa pero yung student number namin ni Rey may asterisk tapos """"see me at my faculty room. So punta kami pareho. (Big mistake. Dapat one-on-one.)Prof Umaly: Gentlemen come in . . . (pasok kami ng parang baboy na kakatayin) I called you in because your answers were very similar . . . blah blah . . . blahNonoy: Sir", I'm very sorry you arrived at that conclusion. You see sir, I have an explanation as to how that might have happened . . . We reviewed together for a week. And this is also the second time, if you recall," we took the course . . . (Feeling """"getting somewhere si Nonoy kasi patango-tango na si Prof).Ang hindi namalayan ni Nonoy ay constricted na ang pupils ni Rey", mabilis na ang paghinga, at on the verge of panic. Somewhere in the middle of Nonoy's spiel . . . Rey: SERRRR!!!! PARANG AWA N'YO NAAAAHHHH!!!! PATAWARIN NYO KAMIIHHHHH!!!! KAILANGAN KO NA PO ITO IPASAAAHHHHH!!!! *&^%$$$##!!!!Nonoy: ? (nakanganga)Prof Umaly: Well?Nonoy: Thank you for seeing us sir . . . Ending: pasado pa rin sila. Di mo mawari kung awa o aliw ang nanaig kay Prof Umaly. Either way malaking pasasalamat ng dalawa.Isang tanyag na manggagamot ngayon si Rey. Nakatapos siya ng medicine sa UP . . . University of Pangasinan. Weno? UP pa rin. Ang Nonoy? Cool pa rin. Ginagamit sa hanapbuhay ang mga talento'ng na-develop niya katulad ng ipinamalas niya nung araw na yon sa tanggapan ni Prof Umaly. Praise the Lord!Sa Easter na uli.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,Kath Zarate, Overheard @ AS Tambayan Complex:Deadline ka ba?Hinahabol-habol kasi kita eh.TAAS KAMAY NG MGA NAGPUPUYAT PARA SA ACADS! KAPIIIIT!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
